transform,model,MAE,RMSE,MAPE,sMAPE,MASE
none,naive,602.9565809827535,743.5719703608825,15.82212010204502,13.532365439128972,1.228417828987905
none,seasonal_naive,629.1012106349126,765.0276140300039,18.8715825524392,14.728510076214068,1.266133678946731
none,mean,1557.048016681923,1651.1128386115142,39.65773157204417,34.091688733815246,4.239899619775503
none,median,1651.6782122064556,1746.1228239624645,40.13262845999527,36.65922343028383,4.431791758914172
none,AutoTheta,516.3519849296596,636.4815780786626,13.991008059891595,12.104348612165357,0.9807966129181032
none,AutoETS,513.2482096199169,643.4905828813407,14.463655952436506,11.833720344923744,0.9228496289475376
none,catboost,670.4659619507947,809.2267927580455,18.687198581469488,14.777542058671761,1.4892452184144176
log1p,naive,602.9565809827535,743.5719703608825,15.82212010204502,13.532365439128972,1.228417828987905
log1p,seasonal_naive,629.1012106349126,765.0276140300039,18.8715825524392,14.728510076214068,1.266133678946731
log1p,mean,1557.048016681923,1651.1128386115142,39.65773157204417,34.091688733815246,4.239899619775503
log1p,median,1651.6782122064556,1746.1228239624645,40.13262845999527,36.65922343028383,4.431791758914172
log1p,AutoTheta,516.3519849296596,636.4815780786626,13.991008059891595,12.104348612165357,0.9807966129181032
log1p,AutoETS,513.2482096199169,643.4905828813407,14.463655952436506,11.833720344923744,0.9228496289475376
log1p,catboost,635.9300828089127,776.0008696036591,17.578224467252248,14.205968856229578,1.4478456610508
boxcox,naive,602.9565809827535,743.5719703608825,15.82212010204502,13.532365439128972,1.228417828987905
boxcox,seasonal_naive,629.1012106349126,765.0276140300039,18.8715825524392,14.728510076214068,1.266133678946731
boxcox,mean,1557.048016681923,1651.1128386115142,39.65773157204417,34.091688733815246,4.239899619775503
boxcox,median,1651.6782122064556,1746.1228239624645,40.13262845999527,36.65922343028383,4.431791758914172
boxcox,AutoTheta,516.3519849296596,636.4815780786626,13.991008059891595,12.104348612165357,0.9807966129181032
boxcox,AutoETS,513.2482096199169,643.4905828813407,14.463655952436506,11.833720344923744,0.9228496289475376
boxcox,catboost,1189.200217565632,1351.7259697434813,28.681458440011102,36.20888970781053,4.0292839938964775
diff,naive,602.9565809827535,743.5719703608825,15.82212010204502,13.532365439128972,1.228417828987905
diff,seasonal_naive,629.1012106349126,765.0276140300039,18.8715825524392,14.728510076214068,1.266133678946731
diff,mean,1557.048016681923,1651.1128386115142,39.65773157204417,34.091688733815246,4.239899619775503
diff,median,1651.6782122064556,1746.1228239624645,40.13262845999527,36.65922343028383,4.431791758914172
diff,AutoTheta,516.3519849296596,636.4815780786626,13.991008059891595,12.104348612165357,0.9807966129181032
diff,AutoETS,513.2482096199169,643.4905828813407,14.463655952436506,11.833720344923744,0.9228496289475376
diff,catboost,516.6307344288211,633.8286238940102,14.36988165164108,12.36188792576621,1.0023257859288188
